ID,randomID,yday,timegroup,EASTING,NORTHING,group,datetime
A,A,19,5,650754.11372114,5307114.93634649,5_3,2010-01-19T03:30:47Z
A,A,19,166,660119.199440802,5315173.02779865,166_3,2011-01-19T13:30:47Z
A,A,19,167,660047.522591069,5313386.29839413,167_3,2011-01-19T18:31:46Z
A,A,19,168,660202.273126482,5313042.89448767,168_3,2011-01-19T23:31:48Z
A,A,19,332,647489.545301654,5297505.41311448,332_1,2012-01-19T04:30:11Z
A,A,19,332,647492.481430681,5297502.83675357,332_1,2012-01-19T05:30:41Z
A,A,19,333,647493.341123508,5297504.43337275,333_1,2012-01-19T06:30:11Z
A,A,19,333,647499.600974252,5297499.88549904,333_1,2012-01-19T07:30:24Z
A,A,19,334,647527.898946582,5297476.43582047,334_1,2012-01-19T08:30:12Z
A,A,19,334,647507.834469799,5297507.89217899,334_1,2012-01-19T09:30:43Z
A,A,19,335,647507.883133652,5297496.52128202,335_1,2012-01-19T10:30:08Z
A,A,19,335,647510.104962637,5297492.99257286,335_1,2012-01-19T11:30:10Z
A,A,19,336,647505.686155364,5297505.39306113,336_1,2012-01-19T12:30:24Z
A,A,19,336,647510.375430757,5297507.6533557,336_1,2012-01-19T13:30:23Z
A,A,19,337,647548.065282408,5297517.19732696,337_3,2012-01-19T14:30:14Z
A,A,19,338,647472.627073869,5297875.72962997,338_1,2012-01-19T16:30:41Z
A,A,19,338,647428.842367451,5297806.8079886,338_1,2012-01-19T17:30:06Z
A,A,19,339,647423.003598134,5297807.63228577,339_1,2012-01-19T18:30:42Z
A,A,19,339,647419.426153287,5297797.25661366,339_1,2012-01-19T19:30:44Z
A,A,19,340,647460.210497094,5297871.08382721,340_1,2012-01-19T20:30:18Z
A,A,19,340,647529.768595394,5297922.09669337,340_1,2012-01-19T21:30:21Z
A,A,19,341,647527.0719837,5297912.29054524,341_1,2012-01-19T22:30:41Z
A,A,19,341,647634.82420541,5297848.39307959,341_1,2012-01-19T23:30:13Z
A,A,19,342,647625.757652568,5297341.79523636,342_1,2012-01-20T00:30:10Z
A,A,19,342,647417.196704443,5297508.46597414,342_2,2012-01-20T01:30:55Z
A,A,19,343,647492.699450928,5297529.22531138,343_1,2012-01-20T02:30:24Z
A,A,23,184,660307.395087645,5311542.02051002,184_3,2011-01-23T03:30:49Z
A,A,23,186,660282.084116086,5311494.3101982,186_3,2011-01-23T13:30:54Z
A,A,23,188,660446.495389261,5311667.83647823,188_3,2011-01-23T23:31:23Z
A,A,23,384,647092.017824946,5298292.95432428,384_1,2012-01-23T04:30:09Z
A,A,23,384,647037.892970796,5298183.44213246,384_1,2012-01-23T05:30:21Z
A,A,23,385,646681.273318183,5297780.9106128,385_1,2012-01-23T06:30:48Z
A,A,23,385,646592.36679863,5297637.85004175,385_1,2012-01-23T07:30:26Z
A,A,23,386,646613.250492823,5297654.16170686,386_1,2012-01-23T08:30:54Z
A,A,23,386,646627.975191565,5297683.69450236,386_1,2012-01-23T09:30:17Z
A,A,23,387,646421.449783244,5298442.1556741,387_1,2012-01-23T10:30:06Z
A,A,23,387,646444.634151453,5298499.39935299,387_1,2012-01-23T11:30:50Z
A,A,23,388,646444.764807162,5298497.37423903,388_1,2012-01-23T12:30:08Z
A,A,23,388,646439.322201008,5298511.1929745,388_1,2012-01-23T13:30:10Z
A,A,23,389,646303.450830749,5298534.29786781,389_2,2012-01-23T14:30:23Z
A,A,23,390,646206.719615484,5298545.76303929,390_1,2012-01-23T16:30:15Z
A,A,23,390,646256.913936148,5298670.98347162,390_1,2012-01-23T17:30:53Z
A,A,23,391,646206.825897267,5298634.06308021,391_1,2012-01-23T18:30:14Z
A,A,23,391,645926.143641044,5298750.93987652,391_2,2012-01-23T19:30:49Z
A,A,23,392,645951.736209024,5298679.54463283,392_1,2012-01-23T20:30:13Z
A,A,23,392,645949.376727591,5298678.73000267,392_1,2012-01-23T21:30:26Z
A,A,23,393,645988.617454959,5298749.0211081,393_2,2012-01-23T22:30:53Z
A,A,23,393,646388.699210105,5298873.31381323,393_1,2012-01-23T23:30:41Z
A,A,23,394,646903.815816815,5298788.31110333,394_2,2012-01-24T00:30:14Z
A,A,23,394,647352.192856673,5298218.61046431,394_1,2012-01-24T01:30:52Z
A,A,23,395,647399.919484122,5298000.89425333,395_1,2012-01-24T02:30:12Z
A,A,25,35,653325.981140505,5305166.50518427,35_3,2010-01-25T03:30:41Z
A,A,25,36,653186.841861845,5304370.79482666,36_3,2010-01-25T08:30:50Z
A,A,25,37,653170.101594051,5304390.9276451,37_3,2010-01-25T13:30:43Z
A,A,25,39,652442.3283971,5302865.62198129,39_3,2010-01-25T23:30:53Z
A,A,25,409,648514.571053172,5296694.66699539,409_2,2012-01-25T03:30:18Z
A,A,25,410,648590.911604403,5297417.35264755,410_2,2012-01-25T04:30:12Z
A,A,25,410,649267.166920031,5298261.96410091,410_1,2012-01-25T05:30:42Z
A,A,25,411,649267.755359093,5298264.58715361,411_1,2012-01-25T06:30:07Z
A,A,25,411,649265.491031403,5298257.07322487,411_1,2012-01-25T07:30:16Z
A,A,25,412,649169.772573535,5298101.89116657,412_1,2012-01-25T08:30:23Z
A,A,25,412,649298.21219944,5298023.90102446,412_1,2012-01-25T09:30:17Z
A,A,25,413,648374.757681714,5298075.62320646,413_1,2012-01-25T10:30:08Z
A,A,25,413,648360.176328003,5298075.52061601,413_1,2012-01-25T11:30:25Z
A,A,25,414,648339.39583217,5298112.35507436,414_1,2012-01-25T12:30:10Z
A,A,25,414,648346.168113406,5298094.39944218,414_1,2012-01-25T13:30:24Z
A,A,25,415,648341.401572694,5298091.79392709,415_2,2012-01-25T14:30:07Z
A,A,25,416,648415.077500775,5297493.6723539,416_2,2012-01-25T16:30:23Z
A,A,25,416,648476.095029412,5297268.78298471,416_1,2012-01-25T17:30:44Z
A,A,25,417,648444.117334959,5297247.38452316,417_1,2012-01-25T18:30:14Z
A,A,25,417,648449.018755186,5297241.63397858,417_1,2012-01-25T19:30:12Z
A,A,25,418,648432.68274837,5297233.30910632,418_1,2012-01-25T20:30:42Z
A,A,25,418,648238.385538805,5296757.29349212,418_2,2012-01-25T21:30:10Z
A,A,25,419,648366.091653308,5296462.99359651,419_1,2012-01-25T22:30:09Z
A,A,25,419,648343.256725836,5296353.86763464,419_1,2012-01-25T23:30:43Z
A,A,25,420,648358.971056166,5296135.16721943,420_1,2012-01-26T00:30:11Z
