ID,X,Y,datetime,population
A,715851.44751505,5505339.89910182,2016-11-01 00:00:54,1
A,715822.776234781,5505289.12700492,2016-11-01 02:01:22,1
A,715872.915382008,5505252.25541597,2016-11-01 04:01:24,1
A,715820.54958287,5505231.06233232,2016-11-01 06:01:05,1
A,715830.585415378,5505227.23129877,2016-11-01 08:01:11,1
A,715829.362068365,5505332.31674316,2016-11-01 10:01:18,1
A,715306.633674363,5505837.1555164,2016-11-01 12:00:49,1
A,715349.731931699,5505644.28594987,2016-11-01 14:01:23,1
A,715224.05322221,5505660.92321569,2016-11-01 16:00:51,1
A,714823.4291482,5505659.29872936,2016-11-01 18:01:16,1
A,715380.510541987,5505617.71795983,2016-11-01 20:00:36,1
A,715204.203254018,5505591.11731774,2016-11-01 22:00:55,1
A,715558.225598503,5505517.74177396,2016-11-02 00:00:54,1
A,715314.502642933,5505512.09112238,2016-11-02 02:01:48,1
A,715229.720545363,5505555.24810941,2016-11-02 04:01:46,1
A,715095.943055006,5505505.27995707,2016-11-02 06:00:44,1
A,715095.869832836,5505509.04542323,2016-11-02 08:00:42,1
A,715493.479350247,5505479.66242394,2016-11-02 10:01:13,1
A,715245.339731602,5505675.37622024,2016-11-02 12:01:22,1
A,715348.168601313,5505384.75441377,2016-11-02 14:00:55,1
A,715280.370942932,5505372.99715084,2016-11-02 16:00:55,1
A,715210.336849569,5505185.66715616,2016-11-02 18:00:54,1
A,714996.852719188,5505168.97808705,2016-11-02 20:01:24,1
A,714956.665409954,5505156.74735612,2016-11-02 22:01:12,1
A,714955.601387434,5505223.31099141,2016-11-03 00:01:42,1
A,714880.429380533,5505210.61699229,2016-11-03 02:00:55,1
A,715011.90793759,5505286.88089742,2016-11-03 04:00:59,1
A,714934.274796252,5505222.52716897,2016-11-03 06:02:18,1
A,714898.833008204,5505243.65137934,2016-11-03 08:00:48,1
A,714929.653867768,5505263.82089002,2016-11-03 10:01:13,1
A,715318.583300928,5505814.84549613,2016-11-03 12:01:19,1
A,715265.337836039,5505689.35420315,2016-11-03 14:00:56,1
A,715165.821040769,5505670.00505246,2016-11-03 16:01:28,1
A,714676.641686426,5505772.33853303,2016-11-03 18:00:48,1
A,713991.734446147,5505544.49535287,2016-11-03 20:00:57,1
A,713867.072978433,5505440.17859267,2016-11-03 22:00:54,1
A,713800.092822212,5505434.49048137,2016-11-04 00:01:23,1
A,713874.116200005,5505293.28880547,2016-11-04 02:01:33,1
A,713837.423942362,5505420.65720043,2016-11-04 04:01:24,1
A,713838.28094987,5505412.46056051,2016-11-04 06:00:48,1
A,713765.730344234,5505409.3197954,2016-11-04 08:00:55,1
A,713709.16730564,5505544.22897393,2016-11-04 10:00:58,1
A,714242.467949245,5505648.9997059,2016-11-04 12:02:16,1
A,714276.785095495,5505603.35080223,2016-11-04 14:00:48,1
A,714286.862355082,5505609.14821981,2016-11-04 16:00:41,1
A,714396.086822504,5505840.05402345,2016-11-04 18:01:04,1
A,715308.311157925,5505824.75738027,2016-11-04 20:00:51,1
A,715060.959263382,5505405.60839497,2016-11-04 22:00:45,1
A,715091.404315803,5505312.46219796,2016-11-05 00:01:44,1
A,715200.831210254,5505179.00825011,2016-11-05 02:01:42,1
A,715128.036659505,5505224.10717441,2016-11-05 04:00:36,1
A,715065.050574542,5505159.3761593,2016-11-05 06:01:07,1
A,714926.689213927,5505082.15570433,2016-11-05 08:01:16,1
A,714849.531837852,5505101.39372767,2016-11-05 10:00:42,1
A,714355.687365186,5505299.16913389,2016-11-05 12:01:19,1
A,714323.089631372,5505324.97544747,2016-11-05 14:00:48,1
A,714266.436324421,5505316.85526173,2016-11-05 16:01:57,1
A,714113.161273739,5505379.35729092,2016-11-05 18:00:52,1
A,713893.696564832,5505603.21776127,2016-11-05 20:00:47,1
A,714219.948161622,5505450.72075861,2016-11-05 22:00:35,1
A,714219.568839602,5505468.02034765,2016-11-06 00:00:54,1
A,713914.462523097,5505515.55657358,2016-11-06 02:01:06,1
A,713683.538160272,5505391.03770283,2016-11-06 04:00:54,1
A,713574.661852947,5505360.62644296,2016-11-06 06:00:45,1
A,713489.454858727,5505315.63262142,2016-11-06 08:01:16,1
A,713371.498236075,5505331.50753322,2016-11-06 10:01:16,1
A,712998.385518949,5505422.4568624,2016-11-06 12:00:47,1
A,712884.820535151,5505433.75393777,2016-11-06 14:01:11,1
A,712874.256127874,5505431.04192753,2016-11-06 16:01:10,1
A,712765.224397812,5505501.87689758,2016-11-06 18:01:15,1
A,712782.359924689,5505633.92393294,2016-11-06 20:00:51,1
A,712560.367327204,5506205.32947076,2016-11-06 22:01:23,1
A,712580.459721045,5506200.77576923,2016-11-07 00:00:53,1
A,712568.449394805,5506200.20868594,2016-11-07 02:00:56,1
A,712527.895872231,5506188.40418343,2016-11-07 04:01:09,1
A,712490.329091369,5506156.42014249,2016-11-07 06:01:22,1
A,712295.738397825,5506177.18480736,2016-11-07 08:01:12,1
A,712264.278382173,5506173.63602164,2016-11-07 10:01:24,1
A,711215.491380251,5506162.8664039,2016-11-07 12:01:25,1
A,710834.023584225,5506279.51358782,2016-11-07 14:01:13,1
A,710832.817746495,5506295.0673878,2016-11-07 16:02:12,1
A,710901.415481887,5506138.92494357,2016-11-07 18:00:48,1
A,711032.057609559,5506199.68380607,2016-11-07 20:00:51,1
A,711068.199272873,5506321.66213016,2016-11-07 22:01:25,1
A,711049.136011958,5506326.93451273,2016-11-08 00:00:53,1
A,710845.383555037,5506304.34420595,2016-11-08 02:01:18,1
A,710716.566457898,5506336.29182358,2016-11-08 04:00:54,1
A,710622.651225804,5506177.1173919,2016-11-08 06:01:30,1
A,710789.543311159,5506109.54135117,2016-11-08 08:00:48,1
A,710794.407051621,5506128.96739175,2016-11-08 10:00:24,1
A,710506.492277287,5506290.02806081,2016-11-08 12:01:14,1
A,710123.621517748,5506995.81281082,2016-11-08 14:00:51,1
A,708829.039903102,5506854.0430873,2016-11-08 16:01:07,1
A,708073.565265538,5506662.60450419,2016-11-08 18:00:54,1
A,707273.502962614,5507048.27967649,2016-11-08 20:01:13,1
A,706524.52398416,5506216.67468877,2016-11-08 22:01:53,1
