ID,X,Y,datetime,population,type
D,710874.969074628,5440954.33652709,2016-11-01T00:00:47Z,1,prey
D,710879.138990963,5440875.22739928,2016-11-01T02:00:53Z,1,prey
D,710677.815045577,5440658.17271257,2016-11-01T04:00:47Z,1,prey
D,710701.834514532,5440641.36168733,2016-11-01T06:00:47Z,1,prey
D,710843.38303465,5440607.67472311,2016-11-01T08:00:49Z,1,prey
D,710853.895091027,5440603.61778261,2016-11-01T10:00:32Z,1,prey
D,711368.881581281,5440781.00683585,2016-11-01T12:00:48Z,1,prey
D,711013.983672256,5441410.27229442,2016-11-01T14:00:48Z,1,prey
D,710740.656882858,5441429.85563841,2016-11-01T16:00:25Z,1,prey
D,710529.740005986,5441364.92541356,2016-11-01T18:00:55Z,1,prey
D,710562.594448543,5441449.73834104,2016-11-01T20:01:48Z,1,prey
D,710911.764044188,5441038.35349873,2016-11-01T22:00:30Z,1,prey
D,710968.276130434,5440970.67887983,2016-11-02T00:00:49Z,1,prey
D,711006.775699446,5440909.78173296,2016-11-02T02:00:38Z,1,prey
D,711205.651352034,5440800.4771964,2016-11-02T04:00:53Z,1,prey
D,711154.33068135,5440915.37856238,2016-11-02T06:00:41Z,1,prey
D,711165.904245065,5440913.74370149,2016-11-02T08:00:42Z,1,prey
D,711043.16094279,5440864.27061847,2016-11-02T10:00:25Z,1,prey
D,710957.241141038,5440701.81066435,2016-11-02T12:00:47Z,1,prey
D,710967.324612521,5440625.97665112,2016-11-02T14:00:49Z,1,prey
D,710973.57155831,5440616.43734584,2016-11-02T16:00:24Z,1,prey
D,711111.767938256,5440467.25760617,2016-11-02T18:00:54Z,1,prey
D,711371.804322198,5440564.46654564,2016-11-02T20:00:47Z,1,prey
D,711266.410901843,5440703.1991245,2016-11-02T22:00:31Z,1,prey
D,711137.189259041,5440664.77587135,2016-11-03T00:00:54Z,1,prey
D,710933.029334859,5440599.62632345,2016-11-03T02:00:54Z,1,prey
D,710922.315083739,5440572.60243608,2016-11-03T04:00:50Z,1,prey
D,710800.743165595,5440437.28106838,2016-11-03T06:00:44Z,1,prey
D,710796.57966108,5440441.88296023,2016-11-03T08:00:48Z,1,prey
D,710803.174787777,5440443.52096762,2016-11-03T10:00:19Z,1,prey
D,710680.375313187,5440370.58113661,2016-11-03T12:00:44Z,1,prey
D,710162.368308196,5441300.14744459,2016-11-03T14:01:07Z,1,prey
D,709406.205663773,5441304.0589902,2016-11-03T16:01:02Z,1,prey
D,709385.014440687,5441306.12602721,2016-11-03T18:00:49Z,1,prey
D,709610.133615592,5441035.55043403,2016-11-03T20:00:41Z,1,prey
D,709536.249720818,5440739.75647964,2016-11-03T22:00:40Z,1,prey
D,709492.398948858,5440747.64540866,2016-11-04T00:00:48Z,1,prey
D,709429.475406377,5440710.5671973,2016-11-04T02:00:42Z,1,prey
D,709424.594113341,5440731.33077082,2016-11-04T04:00:54Z,1,prey
D,709428.302995234,5440744.90999715,2016-11-04T06:00:42Z,1,prey
D,709437.815989662,5440723.75306975,2016-11-04T08:00:48Z,1,prey
D,709538.331417083,5440621.87678993,2016-11-04T10:00:24Z,1,prey
D,709899.720216584,5441084.82861116,2016-11-04T14:00:48Z,1,prey
D,710202.307014345,5441393.63641333,2016-11-04T16:00:25Z,1,prey
D,710610.535833646,5441391.59782797,2016-11-04T18:00:48Z,1,prey
D,710681.288207717,5441387.21287591,2016-11-04T20:00:23Z,1,prey
D,710667.848245186,5441228.64387751,2016-11-04T22:00:48Z,1,prey
D,710676.87545759,5441222.9468545,2016-11-05T00:00:25Z,1,prey
D,710818.237809735,5440765.43894776,2016-11-05T02:00:48Z,1,prey
D,710920.501228975,5440469.32366554,2016-11-05T04:00:30Z,1,prey
D,710917.307985386,5440467.0765257,2016-11-05T06:00:53Z,1,prey
D,710917.812023844,5440458.28524107,2016-11-05T08:00:54Z,1,prey
D,710700.11786029,5440467.94839468,2016-11-05T10:00:49Z,1,prey
D,710355.249290536,5440405.13320505,2016-11-05T12:00:28Z,1,prey
D,710296.98053409,5440451.13670724,2016-11-05T14:00:49Z,1,prey
D,710296.646234247,5440460.83932574,2016-11-05T16:00:31Z,1,prey
D,710339.271532475,5440450.46530538,2016-11-05T18:00:55Z,1,prey
D,710465.663948307,5440913.52824957,2016-11-05T20:00:47Z,1,prey
D,710204.676189569,5441326.65273121,2016-11-05T22:00:37Z,1,prey
D,710274.982311309,5441271.51383563,2016-11-06T00:00:48Z,1,prey
D,710342.003029058,5441301.31095339,2016-11-06T02:00:43Z,1,prey
D,710365.465856413,5441256.76467309,2016-11-06T04:00:45Z,1,prey
D,710565.228410125,5441164.64234798,2016-11-06T06:00:50Z,1,prey
D,710606.996289204,5441194.84410707,2016-11-06T08:00:49Z,1,prey
D,710662.497378826,5441221.71085663,2016-11-06T10:00:37Z,1,prey
D,710709.129113225,5441099.2340086,2016-11-06T12:00:53Z,1,prey
D,710174.539614737,5441331.50857886,2016-11-06T14:00:41Z,1,prey
D,710187.013376795,5441323.74043819,2016-11-06T16:00:48Z,1,prey
D,710281.261706954,5441246.84649175,2016-11-06T18:00:25Z,1,prey
D,710383.587323888,5441112.23940508,2016-11-06T20:00:43Z,1,prey
D,710525.927813979,5440980.66658338,2016-11-06T22:00:30Z,1,prey
D,710529.298059185,5440992.44481105,2016-11-07T00:00:53Z,1,prey
D,710464.993606551,5440911.16793427,2016-11-07T02:00:37Z,1,prey
D,710407.634304685,5440706.39600871,2016-11-07T04:01:18Z,1,prey
D,710375.543500782,5440636.22244265,2016-11-07T06:00:43Z,1,prey
D,710379.661639779,5440625.38056808,2016-11-07T08:00:25Z,1,prey
D,710387.190983407,5440621.22185486,2016-11-07T10:00:42Z,1,prey
D,710334.677773536,5440253.76305181,2016-11-07T12:00:46Z,1,prey
D,710327.811466139,5440131.41243723,2016-11-07T14:00:53Z,1,prey
D,710303.121577716,5440182.0665583,2016-11-07T16:00:54Z,1,prey
D,710303.062323795,5440281.71424336,2016-11-07T18:00:54Z,1,prey
D,710122.544725076,5440366.91405701,2016-11-07T20:00:25Z,1,prey
D,709028.179341452,5440627.81242972,2016-11-07T22:00:54Z,1,prey
D,709399.143392038,5440426.08965819,2016-11-08T00:00:41Z,1,prey
D,709396.762416212,5440422.86513211,2016-11-08T02:00:48Z,1,prey
D,709504.539907562,5440371.46740545,2016-11-08T04:00:48Z,1,prey
